Congener,Samples,Values
C10H12Cl10,Sludge1_undiluted,0
C10H13Cl9,Sludge1_undiluted,0
C10H14Cl8,Sludge1_undiluted,0
C10H15Cl7,Sludge1_undiluted,0
C10H16Cl6,Sludge1_undiluted,0
C10H17Cl5,Sludge1_undiluted,0
C11H13Cl11,Sludge1_undiluted,0
C11H14Cl10,Sludge1_undiluted,0
C11H15Cl9,Sludge1_undiluted,0
C11H16Cl8,Sludge1_undiluted,0
C11H17Cl7,Sludge1_undiluted,0
C11H18Cl6,Sludge1_undiluted,0
C11H19Cl5,Sludge1_undiluted,0
C12H14Cl12,Sludge1_undiluted,0
C12H15Cl11,Sludge1_undiluted,0
C12H16Cl10,Sludge1_undiluted,0
C12H17Cl9,Sludge1_undiluted,0
C12H18Cl8,Sludge1_undiluted,0
C12H19Cl7,Sludge1_undiluted,0
C12H20Cl6,Sludge1_undiluted,0
C12H21Cl5,Sludge1_undiluted,0
C13H15Cl13,Sludge1_undiluted,0
C13H16Cl12,Sludge1_undiluted,0
C13H17Cl11,Sludge1_undiluted,0
C13H18Cl10,Sludge1_undiluted,0
C13H19Cl9,Sludge1_undiluted,0
C13H20Cl8,Sludge1_undiluted,0
C13H21Cl7,Sludge1_undiluted,18.91961607
C13H22Cl6,Sludge1_undiluted,0
C13H23Cl5,Sludge1_undiluted,0
C14H16Cl14,Sludge1_undiluted,0
C14H17Cl13,Sludge1_undiluted,0
C14H18Cl12,Sludge1_undiluted,0
C14H19Cl11,Sludge1_undiluted,0
C14H20Cl10,Sludge1_undiluted,0
C14H21Cl9,Sludge1_undiluted,0
C14H22Cl8,Sludge1_undiluted,48.51271602
C14H23Cl7,Sludge1_undiluted,131.8118039
C14H24Cl6,Sludge1_undiluted,123.2351019
C14H25Cl5,Sludge1_undiluted,12.7737199
C15H17Cl15,Sludge1_undiluted,0
C15H18Cl14,Sludge1_undiluted,6.398228148
C15H19Cl13,Sludge1_undiluted,0
C15H20Cl12,Sludge1_undiluted,0
C15H21Cl11,Sludge1_undiluted,0
C15H22Cl10,Sludge1_undiluted,0
C15H23Cl9,Sludge1_undiluted,0
C15H24Cl8,Sludge1_undiluted,0
C15H25Cl7,Sludge1_undiluted,0
C15H26Cl6,Sludge1_undiluted,60.76593031
C15H27Cl5,Sludge1_undiluted,3.212713135
C16H18Cl16,Sludge1_undiluted,0
C16H19Cl15,Sludge1_undiluted,0
C16H20Cl14,Sludge1_undiluted,0
C16H21Cl13,Sludge1_undiluted,0
C16H22Cl12,Sludge1_undiluted,0
C16H23Cl11,Sludge1_undiluted,0
C16H24Cl10,Sludge1_undiluted,0
C16H25Cl9,Sludge1_undiluted,0
C16H26Cl8,Sludge1_undiluted,9.940141182
C16H27Cl7,Sludge1_undiluted,27.14272805
C16H28Cl6,Sludge1_undiluted,14.29442008
C16H29Cl5,Sludge1_undiluted,0
C17H19Cl17,Sludge1_undiluted,0
C17H20Cl16,Sludge1_undiluted,0
C17H21Cl15,Sludge1_undiluted,0
C17H22Cl14,Sludge1_undiluted,10.5513957
C17H23Cl13,Sludge1_undiluted,0
C17H24Cl12,Sludge1_undiluted,0
C17H25Cl11,Sludge1_undiluted,0
C17H26Cl10,Sludge1_undiluted,0
C17H27Cl9,Sludge1_undiluted,0
C17H28Cl8,Sludge1_undiluted,0
C17H29Cl7,Sludge1_undiluted,0
C17H30Cl6,Sludge1_undiluted,0
C17H31Cl5,Sludge1_undiluted,0
C18H20Cl18,Sludge1_undiluted,0
C18H21Cl17,Sludge1_undiluted,0
C18H22Cl16,Sludge1_undiluted,0
C18H23Cl15,Sludge1_undiluted,6.143545423
C18H24Cl14,Sludge1_undiluted,0
C18H25Cl13,Sludge1_undiluted,0
C18H26Cl12,Sludge1_undiluted,0
C18H27Cl11,Sludge1_undiluted,0
C18H28Cl10,Sludge1_undiluted,0
C18H29Cl9,Sludge1_undiluted,0
C18H30Cl8,Sludge1_undiluted,0
C18H31Cl7,Sludge1_undiluted,0
C18H32Cl6,Sludge1_undiluted,0
C18H33Cl5,Sludge1_undiluted,0
C19H21Cl19,Sludge1_undiluted,0
C19H22Cl18,Sludge1_undiluted,0
C19H23Cl17,Sludge1_undiluted,0
C19H24Cl16,Sludge1_undiluted,0
C19H25Cl15,Sludge1_undiluted,0
C19H26Cl14,Sludge1_undiluted,0
C19H27Cl13,Sludge1_undiluted,0
C19H28Cl12,Sludge1_undiluted,0
C19H29Cl11,Sludge1_undiluted,0
C19H30Cl10,Sludge1_undiluted,0
C19H31Cl9,Sludge1_undiluted,0
C19H32Cl8,Sludge1_undiluted,0
C19H33Cl7,Sludge1_undiluted,0
C19H34Cl6,Sludge1_undiluted,0
C19H35Cl5,Sludge1_undiluted,0
C20H22Cl20,Sludge1_undiluted,0
C20H23Cl19,Sludge1_undiluted,7.577704851
C20H24Cl18,Sludge1_undiluted,0
C20H25Cl17,Sludge1_undiluted,0
C20H26Cl16,Sludge1_undiluted,0
C20H27Cl15,Sludge1_undiluted,0
C20H28Cl14,Sludge1_undiluted,0
C20H29Cl13,Sludge1_undiluted,0
C20H30Cl12,Sludge1_undiluted,0
C20H31Cl11,Sludge1_undiluted,0
C20H32Cl10,Sludge1_undiluted,0
C20H33Cl9,Sludge1_undiluted,0
C20H34Cl8,Sludge1_undiluted,0
C20H35Cl7,Sludge1_undiluted,0
C20H36Cl6,Sludge1_undiluted,0
C20H37Cl5,Sludge1_undiluted,0
C10H12Cl10,Sludge2_undiluted,0
C10H13Cl9,Sludge2_undiluted,0
C10H14Cl8,Sludge2_undiluted,0
C10H15Cl7,Sludge2_undiluted,0
C10H16Cl6,Sludge2_undiluted,0
C10H17Cl5,Sludge2_undiluted,0
C11H13Cl11,Sludge2_undiluted,0
C11H14Cl10,Sludge2_undiluted,0
C11H15Cl9,Sludge2_undiluted,0
C11H16Cl8,Sludge2_undiluted,8.992023738
C11H17Cl7,Sludge2_undiluted,0
C11H18Cl6,Sludge2_undiluted,0
C11H19Cl5,Sludge2_undiluted,0
C12H14Cl12,Sludge2_undiluted,0
C12H15Cl11,Sludge2_undiluted,16.1026676
C12H16Cl10,Sludge2_undiluted,0
C12H17Cl9,Sludge2_undiluted,0
C12H18Cl8,Sludge2_undiluted,0
C12H19Cl7,Sludge2_undiluted,14.25803276
C12H20Cl6,Sludge2_undiluted,0
C12H21Cl5,Sludge2_undiluted,0
C13H15Cl13,Sludge2_undiluted,0
C13H16Cl12,Sludge2_undiluted,0
C13H17Cl11,Sludge2_undiluted,0
C13H18Cl10,Sludge2_undiluted,0
C13H19Cl9,Sludge2_undiluted,0
C13H20Cl8,Sludge2_undiluted,0
C13H21Cl7,Sludge2_undiluted,87.0436119
C13H22Cl6,Sludge2_undiluted,16.34820882
C13H23Cl5,Sludge2_undiluted,0
C14H16Cl14,Sludge2_undiluted,0
C14H17Cl13,Sludge2_undiluted,0
C14H18Cl12,Sludge2_undiluted,0
C14H19Cl11,Sludge2_undiluted,0
C14H20Cl10,Sludge2_undiluted,0
C14H21Cl9,Sludge2_undiluted,0
C14H22Cl8,Sludge2_undiluted,165.7309616
C14H23Cl7,Sludge2_undiluted,399.6675946
C14H24Cl6,Sludge2_undiluted,350.1866915
C14H25Cl5,Sludge2_undiluted,48.67832874
C15H17Cl15,Sludge2_undiluted,0
C15H18Cl14,Sludge2_undiluted,17.99978562
C15H19Cl13,Sludge2_undiluted,0
C15H20Cl12,Sludge2_undiluted,0
C15H21Cl11,Sludge2_undiluted,0
C15H22Cl10,Sludge2_undiluted,0
C15H23Cl9,Sludge2_undiluted,0
C15H24Cl8,Sludge2_undiluted,0
C15H25Cl7,Sludge2_undiluted,28.47902601
C15H26Cl6,Sludge2_undiluted,130.6943972
C15H27Cl5,Sludge2_undiluted,8.677515335
C16H18Cl16,Sludge2_undiluted,0
C16H19Cl15,Sludge2_undiluted,0
C16H20Cl14,Sludge2_undiluted,0
C16H21Cl13,Sludge2_undiluted,0
C16H22Cl12,Sludge2_undiluted,0
C16H23Cl11,Sludge2_undiluted,0
C16H24Cl10,Sludge2_undiluted,0
C16H25Cl9,Sludge2_undiluted,0
C16H26Cl8,Sludge2_undiluted,28.86332497
C16H27Cl7,Sludge2_undiluted,109.1469923
C16H28Cl6,Sludge2_undiluted,39.46271732
C16H29Cl5,Sludge2_undiluted,8.354433882
C17H19Cl17,Sludge2_undiluted,9.878767471
C17H20Cl16,Sludge2_undiluted,0
C17H21Cl15,Sludge2_undiluted,0
C17H22Cl14,Sludge2_undiluted,0
C17H23Cl13,Sludge2_undiluted,0
C17H24Cl12,Sludge2_undiluted,0
C17H25Cl11,Sludge2_undiluted,0
C17H26Cl10,Sludge2_undiluted,0
C17H27Cl9,Sludge2_undiluted,177.6106859
C17H28Cl8,Sludge2_undiluted,0
C17H29Cl7,Sludge2_undiluted,1.673526391
C17H30Cl6,Sludge2_undiluted,8.990718852
C17H31Cl5,Sludge2_undiluted,0
C18H20Cl18,Sludge2_undiluted,0
C18H21Cl17,Sludge2_undiluted,0
C18H22Cl16,Sludge2_undiluted,0
C18H23Cl15,Sludge2_undiluted,0
C18H24Cl14,Sludge2_undiluted,0
C18H25Cl13,Sludge2_undiluted,0
C18H26Cl12,Sludge2_undiluted,0
C18H27Cl11,Sludge2_undiluted,0
C18H28Cl10,Sludge2_undiluted,0
C18H29Cl9,Sludge2_undiluted,7.095736943
C18H30Cl8,Sludge2_undiluted,0
C18H31Cl7,Sludge2_undiluted,2.686127578
C18H32Cl6,Sludge2_undiluted,0
C18H33Cl5,Sludge2_undiluted,0
C19H21Cl19,Sludge2_undiluted,0
C19H22Cl18,Sludge2_undiluted,0
C19H23Cl17,Sludge2_undiluted,0
C19H24Cl16,Sludge2_undiluted,0
C19H25Cl15,Sludge2_undiluted,0
C19H26Cl14,Sludge2_undiluted,0
C19H27Cl13,Sludge2_undiluted,0
C19H28Cl12,Sludge2_undiluted,0
C19H29Cl11,Sludge2_undiluted,0
C19H30Cl10,Sludge2_undiluted,0
C19H31Cl9,Sludge2_undiluted,0
C19H32Cl8,Sludge2_undiluted,0
C19H33Cl7,Sludge2_undiluted,0
C19H34Cl6,Sludge2_undiluted,0
C19H35Cl5,Sludge2_undiluted,0
C20H22Cl20,Sludge2_undiluted,0
C20H23Cl19,Sludge2_undiluted,0
C20H24Cl18,Sludge2_undiluted,0
C20H25Cl17,Sludge2_undiluted,0
C20H26Cl16,Sludge2_undiluted,0
C20H27Cl15,Sludge2_undiluted,0
C20H28Cl14,Sludge2_undiluted,0
C20H29Cl13,Sludge2_undiluted,0
C20H30Cl12,Sludge2_undiluted,0
C20H31Cl11,Sludge2_undiluted,0
C20H32Cl10,Sludge2_undiluted,0
C20H33Cl9,Sludge2_undiluted,0
C20H34Cl8,Sludge2_undiluted,0
C20H35Cl7,Sludge2_undiluted,0
C20H36Cl6,Sludge2_undiluted,0
C20H37Cl5,Sludge2_undiluted,10.04696637
