Time,Concentration,Temperature,Pressure
9:41:19,-104.9,27.9,1032.7
9:41:29,-111.7,27.9,1032.8
9:41:39,105,27.9,1032.6
9:41:49,112.3,27.9,1032.6
9:41:59,113.3,27.9,1032.4
9:42:09,80,27.9,1031.9
9:42:19,77.2,27.9,1032
9:42:29,101.7,27.9,1032.4
9:42:39,99.6,27.9,1032.4
9:42:49,115.9,28,1032.6
9:42:59,107.8,28,1032.4
9:43:09,86.1,28,1032.4
9:43:19,91.4,28,1032.4
9:43:29,104.6,28,1032.7
9:43:39,114.1,28,1032.3
9:43:49,116.8,28,1032.2
9:43:59,125.8,28,1032
9:44:09,131.9,28,1032.3
9:44:19,119.8,28,1032.3
9:44:29,112,28,1032.6
9:44:39,109.2,28,1032.4
9:44:49,101.4,28,1032.6
9:44:59,102.2,28,1032.4
9:45:09,97.3,28.1,1032.3
9:45:19,95.1,28.1,1032.3
9:45:29,97.3,28.1,1032.7
9:45:39,104.5,28.1,1032.4
9:45:49,92,28.1,1032.7
9:45:59,104.4,28.1,1032.3
9:46:09,111.2,28.1,1031.8
9:46:19,86.8,28.1,1031.6
9:46:29,137.7,28.1,1032.3
9:46:39,156.8,28.1,1032.2
9:46:49,116.8,28.1,1032.6
9:46:59,110.7,28.1,1032.4
9:47:09,116,28.2,1032.3
9:47:19,104.8,28.1,1032.4
9:47:29,95.5,28.2,1032.6
9:47:39,96,28.2,1032.6
9:47:49,95.7,28.2,1032.4
9:47:59,96.5,28.2,1032.3
9:48:09,104.9,28.2,1032
9:48:19,116.1,28.2,1032.2
9:48:29,90.8,28.2,1032.6
9:48:39,85.6,28.2,1032.4
9:48:49,101,28.2,1032.7
9:48:59,122.3,28.2,1032.6
9:49:09,139.3,28.2,1032.4
9:49:19,116.2,28.2,1032.4
9:49:29,96.5,28.2,1032.6
9:49:39,83.8,28.2,1032.3
9:49:49,113.2,28.3,1032.2
9:49:59,128.5,28.3,1031.9
9:50:09,119.2,28.3,1031.8
9:50:19,121,28.3,1032.2
9:50:29,106.9,28.3,1032.6
9:50:39,100.6,28.3,1032.6
9:50:49,102.9,28.3,1032.7
9:50:59,99.4,28.3,1032.4
9:51:09,83.5,28.3,1032.3
9:51:19,77.6,28.3,1032.4
9:51:29,69.2,28.3,1032.7
9:51:39,68.4,28.3,1032.4
9:51:49,99.8,28.3,1032.6
9:51:59,117.6,28.3,1032.3
9:52:09,106.3,28.3,1032.3
9:52:19,105.9,28.4,1032.4
9:52:29,85.4,28.4,1032.7
9:52:39,82.3,28.4,1032.4
9:52:49,107.2,28.4,1032.4
9:52:59,114.6,28.4,1032.2
9:53:09,117.3,28.4,1032
9:53:19,102.4,28.4,1031.9
9:53:29,93.7,28.4,1032.3
9:53:39,103.6,28.4,1032.2
9:53:49,97.2,28.4,1032.6
9:53:59,94,28.4,1032.3
9:54:09,128.6,28.4,1032.3
9:54:19,132.1,28.4,1032.4
9:54:29,90.8,28.4,1032.6
9:54:39,95.7,28.4,1032.4
9:54:49,109.5,28.4,1032.4
9:54:59,107.9,28.4,1032.2
9:55:09,123.8,28.5,1032.2
9:55:19,119.8,28.5,1032
9:55:29,132.8,28.5,1031.9
9:55:39,111.4,28.5,1032
9:55:49,54.3,28.5,1032.2
9:55:59,70.9,28.5,1032
9:56:09,114.6,28.5,1032
9:56:19,111.3,28.5,1032.2
9:56:29,98.5,28.5,1032.4
9:56:39,94.6,28.5,1032.3
9:56:49,85.7,28.5,1032.6
9:56:59,95,28.5,1032.3
9:57:09,110.5,28.5,1032.2
9:57:19,118.1,28.5,1032
9:57:29,107.7,28.5,1032.3
9:57:39,91.9,28.5,1032.2
9:57:49,82.5,28.5,1032.6
9:57:59,76.8,28.5,1032.2
9:58:09,89.1,28.5,1032.2
9:58:19,83.8,28.5,1032.2
9:58:29,81.3,28.6,1032.3
9:58:39,79.6,28.6,1032.3
9:58:49,80.5,28.6,1032.2
9:58:59,77.9,28.6,1031.9
9:59:09,87.8,28.6,1032
9:59:19,98.2,28.6,1032.3
9:59:29,98.3,28.6,1032.6
9:59:39,125.3,28.6,1032.3
9:59:49,117.2,28.6,1032.6
9:59:59,91.7,28.6,1032.3
10:00:09,91.5,28.6,1032.3
10:00:19,100.2,28.6,1032.3
10:00:29,105.3,28.6,1032.6
10:00:39,97.1,28.6,1032.4
10:00:49,96.5,28.6,1032.4
10:00:59,102.2,28.6,1032
10:01:09,78.9,28.6,1031.9
10:01:19,64.1,28.6,1031.9
10:01:29,107.1,28.6,1032.3
10:01:39,130.3,28.6,1032.2
10:01:49,103.9,28.6,1032.6
10:01:59,81.9,28.6,1032.3
10:02:09,94.4,28.7,1032.2
10:02:19,86.1,28.6,1032.3
10:02:29,86.7,28.7,1032.6
10:02:39,125.1,28.7,1032.3
10:02:49,116.1,28.7,1032.3
10:02:59,86.1,28.7,1032.2
10:03:09,77.3,28.7,1032.2
10:03:19,94.5,28.7,1032.2
10:03:29,98.9,28.7,1032.3
10:03:39,98.3,28.7,1032.2
10:03:49,88.9,28.7,1032.3
10:03:59,79.4,28.7,1032.2
10:04:09,93.9,28.7,1032.3
10:04:19,93.3,28.7,1032.3
10:04:29,98,28.7,1032.4
10:04:39,105.6,28.7,1032.4
10:04:49,108.6,28.7,1032.6
10:04:59,89.9,28.7,1032.3
10:05:09,80.4,28.7,1032.3
10:05:19,97.2,28.7,1032.2
10:05:29,112.9,28.7,1032.3
10:05:39,109.8,28.7,1032
10:05:49,86.4,28.7,1032.2
10:05:59,65,28.7,1032.2
10:06:09,73.8,28.7,1032.2
10:06:19,94.2,28.7,1032.3
10:06:29,96.8,28.7,1032.4
10:06:39,102.4,28.8,1032.2
10:06:49,104.2,28.8,1032.4
10:06:59,107.8,28.8,1032.2
10:07:09,108.2,28.8,1032.2
10:07:19,95.2,28.8,1032.2
10:07:29,92.8,28.8,1032.4
10:07:39,112.3,28.8,1032.2
10:07:49,98.9,28.8,1032.4
10:07:59,73,28.8,1032
10:08:09,96.8,28.8,1032
10:08:19,102.2,28.8,1031.9
10:08:29,104.4,28.8,1032.3
10:08:39,105.1,28.8,1032.2
10:08:49,99.7,28.8,1032.4
10:08:59,101.1,28.8,1032.2
10:09:09,98,28.8,1032.2
10:09:19,99.4,28.8,1032
10:09:29,95.8,28.8,1032.3
10:09:39,109,28.8,1032.2
10:09:49,105.5,28.8,1032.4
10:09:59,100,28.8,1032.2
10:10:09,103.3,28.8,1032.2
10:10:19,101.2,28.8,1031.9
10:10:29,115.2,28.8,1032.3
10:10:39,112,28.8,1032.2
10:10:49,104.7,28.8,1032.3
10:10:59,98.8,28.8,1032
10:11:09,88,28.8,1032
10:11:19,103.8,28.9,1032
10:11:29,109.4,28.9,1032.2
10:11:39,96.4,28.8,1032.2
10:11:49,104.3,28.9,1032.4
10:11:59,97.6,28.9,1032.2
10:12:09,92.7,28.9,1032
10:12:19,88.4,28.9,1032.2
10:12:29,85.5,28.9,1032.3
10:12:39,118.8,28.9,1032
10:12:49,122.7,28.9,1032.2
10:12:59,114.1,28.9,1031.9
10:13:09,104.6,28.9,1032.2
10:13:19,101.3,28.9,1032
10:13:29,97,28.9,1032.3
10:13:39,89.1,28.9,1032
10:13:49,109.6,28.9,1032.3
10:13:59,113.1,28.9,1032.2
10:14:09,111.9,28.9,1031.9
10:14:19,121,28.9,1032
10:14:29,99.2,28.9,1032.2
10:14:39,93.4,28.9,1032
10:14:49,99,28.9,1032.3
10:14:59,100.7,28.9,1032
10:15:09,111.2,28.9,1032.2
10:15:19,100.4,28.9,1032.2
10:15:29,97.7,28.9,1032.4
10:15:39,112.8,28.9,1032.3
10:15:49,103.3,28.9,1032.6
10:15:59,95.4,28.9,1032.3
10:16:09,111.1,28.9,1032
10:16:19,104.6,28.9,1032
10:16:29,90.3,28.9,1032.3
10:16:39,92.4,28.9,1032.3
10:16:49,102.9,28.9,1032.4
10:16:59,99.2,28.9,1032.2
10:17:09,85.3,28.9,1032.3
10:17:19,81.7,28.9,1032.3
10:17:29,104.4,29,1032.6
10:17:39,125.8,28.9,1032.3
10:17:49,117.4,28.9,1032.6
10:17:59,99.5,29,1032
10:18:09,103.8,28.9,1031.9
10:18:19,114.4,29,1031.9
10:18:29,110.7,29,1032.3
10:18:39,97.5,29,1032.2
10:18:49,86.4,29,1032.3
10:18:59,99.9,29,1032.2
10:19:09,103.6,29,1032
10:19:19,85.1,29,1032
10:19:29,97.9,29,1032.2
10:19:39,108.5,29,1032
10:19:49,105.9,29,1032.2
10:19:59,109.9,29,1031.9
10:20:09,108.5,29,1032.2
10:20:19,116.4,29,1032.2
10:20:29,120.6,29,1032.3
10:20:39,112.3,29,1032.3
10:20:49,103.3,29,1032.4
10:20:59,109.5,29,1032.2
10:21:09,93.6,29,1032.2
10:21:19,89.2,29,1032
10:21:29,104.6,29,1032.3
10:21:39,107.4,29,1032
10:21:49,106.9,29,1032.4
10:21:59,113.8,29,1032.2
10:22:09,101,29,1032
10:22:19,101.9,29,1032.2
10:22:29,121.3,29,1032.4
10:22:39,110.4,29,1032.3
10:22:49,117.3,29,1032.4
10:22:59,97.5,29,1032
10:23:09,61.9,29,1032
10:23:19,87,29,1031.9
10:23:29,70.3,29,1032.4
10:23:39,59.8,29,1032.3
10:23:49,85.4,29,1032.6
10:23:59,79.4,29,1032.4
10:24:09,88,29,1032.4
10:24:19,110,29,1032.3
10:24:29,125.1,29,1032.4
10:24:39,115.1,29.1,1032.3
10:24:49,98.5,29,1032.4
10:24:59,90.1,29.1,1032.2
10:25:09,110,29,1032.2
10:25:19,115.3,29.1,1032.2
10:25:29,96.1,29.1,1032.6
10:25:39,98.4,29.1,1032.3
10:25:49,91.1,29.1,1032.6
10:25:59,90,29.1,1032.3
10:26:09,99.6,29.1,1032.3
10:26:19,108.5,29.1,1032.2
10:26:29,109,29.1,1032.4
10:26:39,114.2,29.1,1032.3
10:26:49,126.6,29.1,1032.4
10:26:59,120.8,29.1,1032.3
10:27:09,123.7,29.1,1032.2
10:27:19,129.3,29.1,1032.2
10:27:29,107.9,29.1,1032.6
10:27:39,99,29.1,1032.3
10:27:49,108.1,29.1,1032.6
10:27:59,113.1,29.1,1032.3
10:28:09,112.7,29.1,1032.3
10:28:19,97.5,29.1,1032.3
10:28:29,90.6,29.1,1032.6
10:28:39,105.3,29.1,1032.4
10:28:49,115.6,29.1,1032.6
10:28:59,115.4,29.1,1032.3
10:29:09,107,29.1,1032.3
10:29:19,95.2,29.1,1032.3
10:29:29,101.6,29.1,1032.6
10:29:39,120,29.1,1032.3
10:29:49,113.8,29.1,1032.6
10:29:59,110.2,29.1,1032.3
10:30:09,127,29.1,1032.3
10:30:19,125.8,29.1,1032.3
10:30:29,125.6,29.1,1032.6
10:30:39,123,29.1,1032.6
10:30:49,123.7,29.1,1032.4
10:30:59,118,29.1,1032.3
10:31:09,104.5,29.1,1032.3
10:31:19,93.6,29.2,1032.3
10:31:29,99.3,29.2,1032.4
10:31:39,100,29.2,1032.3
10:31:49,95.6,29.2,1032.4
10:31:59,92,29.2,1032.3
10:32:09,96.5,29.2,1032.3
10:32:19,106.1,29.2,1032.3
10:32:29,107.5,29.2,1032.6
10:32:39,112.1,29.2,1032.6
10:32:49,113.4,29.2,1032.6
10:32:59,113.4,29.2,1032.4
10:33:09,112.5,29.2,1032.3
10:33:19,119.2,29.2,1032.4
10:33:29,120.1,29.2,1032.7
10:33:39,112.7,29.2,1032.4
10:33:49,112.6,29.2,1032.6
10:33:59,111.3,29.2,1032.3
10:34:09,110.9,29.2,1032.3
10:34:19,120.6,29.2,1032.3
10:34:29,115.2,29.2,1032.6
10:34:39,106.2,29.2,1032.4
10:34:49,111,29.2,1032.6
10:34:59,109.5,29.2,1032.3
10:35:09,114.8,29.2,1032.3
10:35:19,123.9,29.2,1032.4
10:35:29,116.7,29.2,1032.7
10:35:39,125,29.2,1032.4
10:35:49,123.8,29.2,1032.6
10:35:59,111.9,29.2,1032.3
10:36:09,124.7,29.3,1032.4
10:36:19,116.9,29.3,1032.6
10:36:29,100.1,29.3,1032.7
10:36:39,110.5,29.3,1032.6
10:36:49,116.5,29.3,1032.7
10:36:59,110.2,29.3,1032.4
10:37:09,105.4,29.3,1032.3
10:37:19,101.1,29.3,1032.3
10:37:29,103.9,29.3,1032.7
10:37:39,123.6,29.3,1032.4
10:37:49,120.9,29.3,1032.7
10:37:59,114.4,29.3,1032.4
10:38:09,107.5,29.3,1032.4
10:38:19,102.8,29.3,1032.4
10:38:29,112.4,29.3,1032.6
10:38:39,103.3,29.3,1032.4
10:38:49,105.3,29.3,1032.6
10:38:59,122.9,29.3,1032.4
10:39:09,109.7,29.3,1032.3
10:39:19,97.4,29.3,1032.4
10:39:29,100.2,29.3,1032.6
10:39:39,97.5,29.3,1032.3
10:39:49,103.4,29.3,1032.6
10:39:59,101.5,29.3,1032.4
10:40:09,106.2,29.3,1032.3
10:40:19,123.5,29.3,1032.3
10:40:29,120.7,29.3,1032.6
10:40:39,104.3,29.3,1032.6
10:40:49,115.6,29.4,1032.6
10:40:59,114.4,29.3,1032.4
10:41:09,97.9,29.3,1032.3
10:41:19,105.6,29.4,1032.4
10:41:29,104.5,29.4,1032.6
10:41:39,97.2,29.4,1032.4
10:41:49,105.7,29.4,1032.6
10:41:59,112.5,29.4,1032.3
10:42:09,108.4,29.4,1032.4
10:42:19,102.5,29.4,1032.4
10:42:29,87,29.4,1032.7
10:42:39,91.4,29.4,1032.7
10:42:49,104.5,29.4,1032.7
10:42:59,105,29.4,1032.3
10:43:09,101.9,29.4,1032.3
10:43:19,104.1,29.4,1032.3
10:43:29,114.3,29.4,1032.7
10:43:39,116,29.4,1032.6
10:43:49,111.1,29.4,1032.7
10:43:59,99.7,29.4,1032.6
10:44:09,107.9,29.4,1032.4
10:44:19,107.2,29.4,1032.4
10:44:29,104.4,29.4,1032.6
10:44:39,119.3,29.4,1032.6
10:44:49,127.1,29.4,1032.7
10:44:59,115.2,29.4,1032.4
10:45:09,102.2,29.4,1032.4
10:45:19,109,29.4,1032.4
10:45:29,105.6,29.4,1032.7
10:45:39,89.5,29.4,1032.4
10:45:49,78.2,29.4,1032.7
10:45:59,76.9,29.4,1032.4
10:46:09,89.9,29.4,1032.3
10:46:19,108,29.4,1032.3
10:46:29,111.3,29.4,1032.6
10:46:39,108,29.4,1032.6
10:46:49,105.1,29.4,1032.7
10:46:59,112.9,29.4,1032.4
10:47:09,116,29.4,1032.4
10:47:19,97.5,29.4,1032.4
10:47:29,100.6,29.4,1032.7
10:47:39,107.9,29.4,1032.4
10:47:49,97.2,29.5,1032.6
10:47:59,97.3,29.5,1032.3
10:48:09,102.6,29.5,1032.3
10:48:19,102.1,29.5,1032.3
10:48:29,95.1,29.5,1032.6
10:48:39,85.4,29.5,1032.6
10:48:49,90.1,29.5,1032.6
10:48:59,102.4,29.5,1032.3
10:49:09,102.7,29.5,1032.3
10:49:19,108.2,29.5,1032.3
10:49:29,116.1,29.5,1032.6
10:49:39,106,29.5,1032.4
10:49:49,98,29.5,1032.6
10:49:59,101.6,29.5,1032.4
10:50:09,96.9,29.5,1032.4
10:50:19,84.1,29.5,1032.4
10:50:29,92.1,29.5,1032.6
10:50:39,98.8,29.5,1032.4
10:50:49,99.1,29.5,1032.6
10:50:59,105.7,29.5,1032.4
10:51:09,99.9,29.5,1032.4
10:51:19,100.1,29.5,1032.4
10:51:29,112.2,29.5,1032.6
10:51:39,105.3,29.5,1032.4
10:51:49,96.9,29.5,1032.6
10:51:59,103.9,29.5,1032.3
10:52:09,105,29.5,1032.3
10:52:19,115.6,29.5,1032.4
10:52:29,108.4,29.5,1032.7
10:52:39,97.7,29.5,1032.4
10:52:49,94.3,29.5,1032.7
10:52:59,101.8,29.5,1032.3
10:53:09,115,29.5,1032.4
10:53:19,113.4,29.5,1032.4
10:53:29,112,29.5,1032.6
10:53:39,114.7,29.5,1032.4
10:53:49,106.7,29.5,1032.8
10:53:59,100.7,29.5,1032.4
10:54:09,97.1,29.5,1032.4
10:54:19,91.8,29.5,1032.6
10:54:29,88.3,29.5,1032.8
10:54:39,93.7,29.5,1032.6
10:54:49,92,29.5,1032.6
10:54:59,80.9,29.5,1032.4
10:55:09,82.8,29.5,1032.4
10:55:19,92.6,29.5,1032.4
10:55:29,95.6,29.5,1032.7
10:55:39,101.1,29.5,1032.4
10:55:49,98.2,29.5,1032.6
10:55:59,89.7,29.5,1032.4
10:56:09,95.1,29.5,1032.3
10:56:19,101.3,29.5,1032.4
10:56:29,90.4,29.5,1032.6
10:56:39,95.7,29.5,1032.6
10:56:49,115.7,29.5,1032.6
10:56:59,105.9,29.5,1032.4
10:57:09,94.3,29.5,1032.4
10:57:19,97.5,29.5,1032.6
10:57:29,95.7,29.5,1032.7
10:57:39,98.1,29.5,1032.6
10:57:49,89.2,29.5,1032.8
10:57:59,68.8,29.6,1032.6
10:58:09,73.7,29.6,1032.4
10:58:19,81.2,29.6,1032.4
10:58:29,92.2,29.6,1032.7
10:58:39,92.8,29.6,1032.6
10:58:49,82.6,29.6,1032.7
10:58:59,80.1,29.6,1032.3
10:59:09,80.3,29.6,1032.3
10:59:19,96.1,29.6,1032.3
10:59:29,97,29.6,1032.7
10:59:39,103,29.6,1032.4
10:59:49,102.3,29.6,1032.7
10:59:59,86.2,29.6,1032.4
11:00:09,82.2,29.6,1032.4
11:00:19,84.9,29.6,1032.6
11:00:29,95.5,29.6,1032.6
11:00:39,99.8,29.6,1032.4
11:00:49,80.4,29.6,1032.6
11:00:59,90.7,29.6,1032.3
11:01:09,107.1,29.6,1032.2
11:01:19,90.1,29.6,1032.2
11:01:29,97,29.6,1032.6
11:01:39,104,29.6,1032.3
11:01:49,98.4,29.6,1032.6
11:01:59,96.9,29.6,1032.3
11:02:09,91.7,29.6,1032.3
11:02:19,94,29.6,1032.2
11:02:29,104.2,29.6,1032.4
11:02:39,99.4,29.6,1032.3
11:02:49,98.6,29.6,1032.4
11:02:59,99.4,29.6,1032.3
11:03:09,94,29.6,1032.2
11:03:19,93.8,29.6,1032.3
11:03:29,95.2,29.6,1032.4
11:03:39,89.5,29.6,1032.3
11:03:49,82.5,29.6,1032.6
11:03:59,92.1,29.6,1032.3
11:04:09,97.3,29.6,1032.3
11:04:19,93.8,29.6,1032.3
11:04:29,85.1,29.6,1032.6
11:04:39,93.3,29.6,1032.3
11:04:49,101.8,29.6,1032.6
11:04:59,93.7,29.6,1032.3
11:05:09,103.9,29.6,1032.3
11:05:19,110.8,29.6,1032.4
11:05:29,89.8,29.6,1032.7
11:05:39,77.9,29.6,1032.4
11:05:49,88.9,29.6,1032.7
11:05:59,78.8,29.6,1032.4
11:06:09,82.2,29.6,1032.4
11:06:19,81.5,29.6,1032.6
11:06:29,70.7,29.6,1032.6
11:06:39,74.5,29.6,1032.6
11:06:49,85.9,29.6,1032.6
11:06:59,92.2,29.6,1032.4
11:07:09,92.5,29.6,1032.4
11:07:19,102,29.6,1032.4
11:07:29,98.3,29.6,1032.6
11:07:39,82.2,29.6,1032.4
11:07:49,76.8,29.6,1032.6
11:07:59,80.8,29.6,1032.4
11:08:09,81.6,29.6,1032.4
11:08:19,84.5,29.6,1032.4
11:08:29,87.9,29.6,1032.6
11:08:39,93.8,29.6,1032.4
11:08:49,95.5,29.6,1032.4
11:08:59,102.5,29.6,1032.3
11:09:09,111,29.6,1032.2
11:09:19,103.5,29.6,1032.2
11:09:29,106.4,29.6,1032.4
11:09:39,98.2,29.6,1032.3
11:09:49,80.7,29.6,1032.6
11:09:59,87.2,29.6,1032.3
11:10:09,87.7,29.6,1032.3
11:10:19,90.7,29.6,1032.3
11:10:29,100.9,29.7,1032.3
11:10:39,79.8,29.7,1032.3
11:10:49,89.9,29.7,1032.3
11:10:59,98.8,29.6,1032.3
11:11:09,79.6,29.6,1032
11:11:19,90.4,29.6,1032.2
11:11:29,105.9,29.6,1032.4
11:11:39,103.9,29.7,1032.2
11:11:49,95.5,29.7,1032.4
11:11:59,95.3,29.6,1032.2
11:12:09,101.7,29.7,1032.3
11:12:19,95.3,29.7,1032.3
11:12:29,91.6,29.7,1032.4
11:12:39,98.1,29.7,1032.2
11:12:49,89.1,29.6,1032.4
11:12:59,85,29.7,1032.3
11:13:09,95.7,29.7,1032.2
11:13:19,94.2,29.7,1032.3
11:13:29,95.1,29.7,1032.4
11:13:39,84,29.7,1032.3
11:13:49,76.7,29.7,1032.6
11:13:59,99.1,29.7,1032.3
11:14:09,105.6,29.7,1032.2
11:14:19,95.4,29.7,1032.3
11:14:29,85.4,29.7,1032.4
11:14:39,89.6,29.7,1032.4
11:14:49,105.4,29.7,1032.4
11:14:59,97.4,29.7,1032.3
11:15:09,84.9,29.7,1032.3
11:15:19,87.9,29.7,1032.3
11:15:29,93.8,29.7,1032.4
11:15:39,105.3,29.7,1032.3
11:15:49,95.2,29.7,1032.4
11:15:59,71.8,29.7,1032.3
11:16:09,84,29.7,1032.2
11:16:19,95.2,29.7,1032.2
11:16:29,86.9,29.7,1032.3
11:16:39,87.5,29.7,1032.3
11:16:49,86.3,29.7,1032.4
11:16:59,79.8,29.7,1032.3
11:17:09,84.5,29.7,1032.3
11:17:19,91.7,29.7,1032.3
11:17:29,95.2,29.7,1032.4
11:17:39,95,29.7,1032.3
11:17:49,84,29.7,1032.6
11:17:59,77,29.7,1032.3
11:18:09,96,29.7,1032.2
11:18:19,100,29.7,1032.2
11:18:29,90.6,29.7,1032.6
11:18:39,92,29.7,1032.4
11:18:49,94.6,29.7,1032.6
11:18:59,99.8,29.7,1032.4
11:19:09,108.2,29.7,1032.2
11:19:19,108.8,29.7,998.3
11:19:29,119.3,29.7,997.1
11:19:39,120.8,29.7,997.9
11:19:49,103.5,29.7,1017
11:19:59,122.9,29.7,1026
11:20:09,136.4,29.7,1030.3
11:20:19,134.5,29.7,1031.4
11:20:29,127.9,29.7,1032.2
11:20:39,113.1,29.7,1032.2
11:20:49,114.3,29.7,1032.4
11:20:59,115.4,29.7,1032.2
11:21:09,122.4,29.7,1032
11:21:19,123.3,29.7,1032.2
11:21:29,99.6,29.7,997.4
11:21:39,108.7,29.7,997.1
11:21:49,87.1,29.7,997.1
11:21:59,52.7,29.7,1013.7
11:22:09,109.9,29.7,1026.4
11:22:19,165.6,29.7,1028.3
11:22:29,147,29.7,1029.2
11:22:39,106.2,29.7,1029.5
11:22:49,88.8,29.7,1029.9
11:22:59,71.8,29.7,1029.8
11:23:09,62.7,29.7,1029.9
11:23:19,77.4,29.7,1029.9
11:23:29,94.7,29.7,1030.2
11:23:39,104.8,29.7,1029.9
11:23:49,90,29.7,1030.2
11:23:59,89.4,29.7,1029.9
11:24:09,104.8,29.7,1029.9
11:24:19,98.8,29.7,1030.2
11:24:29,87.2,29.7,1030.3
11:24:39,95.3,29.7,1030.3
11:24:49,100.1,29.7,1030.4
11:24:59,86.7,29.7,1030.3
11:25:09,94.8,29.7,1030.2
11:25:19,98.5,29.7,1030.2
11:25:29,99.5,29.7,1030.4
11:25:39,110.4,29.7,1030.3
11:25:49,101.3,29.7,1030.4
11:25:59,96.2,29.7,1030.3
11:26:09,107,29.7,1030.3
11:26:19,100.9,29.7,1030.3
11:26:29,94.9,29.7,1030.6
11:26:39,93.9,29.7,1030.6
11:26:49,99.4,29.7,1030.6
11:26:59,85.2,29.7,1030.4
11:27:09,71.8,29.7,1030.4
11:27:19,96.1,29.7,1030.4
11:27:29,108.5,29.7,1030.4
11:27:39,95.9,29.7,1030.4
11:27:49,92.2,29.7,1030.7
11:27:59,95.1,29.7,1030.4
11:28:09,99.2,29.7,1030.4
11:28:19,96.6,29.7,1030.6
11:28:29,92,29.7,1030.8
11:28:39,91.4,29.7,1030.8
11:28:49,94.3,29.7,1030.7
11:28:59,109.7,29.7,1030.6
11:29:09,104.2,29.7,1030.4
11:29:19,90,29.7,1030.6
11:29:29,82.5,29.7,1030.7
11:29:39,90.8,29.7,1030.6
11:29:49,93.8,29.7,1030.8
11:29:59,83.8,29.7,1030.6
11:30:09,78.3,29.7,1030.7
11:30:19,81.4,29.7,1031.1
11:30:29,91.3,29.7,1030.8
11:30:39,94.9,29.7,1030.8
11:30:49,88.6,29.7,1030.8
11:30:59,88,29.7,1030.7
11:31:09,105.5,29.7,1030.6
