"temperature","pollutant","concentration","date"
-11.7,"NO2",41,2018-01-01 19:00:00
-11.7,"O3",2,2018-01-01 19:00:00
-11.3,"NO2",28,2018-01-01 20:00:00
-11.3,"O3",14,2018-01-01 20:00:00
-11.6,"NO2",20,2018-01-01 20:59:59
-11.6,"O3",20,2018-01-01 20:59:59
-11.2,"NO2",18,2018-01-01 22:00:00
-11.2,"O3",20,2018-01-01 22:00:00
-11.3,"NO2",19,2018-01-01 23:00:00
-11.3,"O3",19,2018-01-01 23:00:00
-10.1,"NO2",18,2018-01-01 23:59:59
-10.1,"O3",21,2018-01-01 23:59:59
-9.7,"NO2",10,2018-01-02 01:00:00
-9.7,"O3",28,2018-01-02 01:00:00
-10.5,"NO2",12,2018-01-02 02:00:00
-10.5,"O3",26,2018-01-02 02:00:00
-10.9,"NO2",20,2018-01-02 02:59:59
-10.9,"O3",20,2018-01-02 02:59:59
-11.8,"NO2",19,2018-01-02 04:00:00
-11.8,"O3",21,2018-01-02 04:00:00
-11.3,"NO2",18,2018-01-02 05:00:00
-11.3,"O3",21,2018-01-02 05:00:00
-10.4,"NO2",19,2018-01-02 05:59:59
-10.4,"O3",20,2018-01-02 05:59:59
-9.7,"NO2",18,2018-01-02 07:00:00
-9.7,"O3",21,2018-01-02 07:00:00
-8.7,"NO2",17,2018-01-02 08:00:00
-8.7,"O3",23,2018-01-02 08:00:00
-8.2,"NO2",19,2018-01-02 08:59:59
-8.2,"O3",21,2018-01-02 08:59:59
-8.2,"NO2",18,2018-01-02 10:00:00
-8.2,"O3",23,2018-01-02 10:00:00
-8.4,"NO2",17,2018-01-02 11:00:00
-8.4,"O3",23,2018-01-02 11:00:00
-9.1,"NO2",16,2018-01-02 11:59:59
-9.1,"O3",22,2018-01-02 11:59:59
-10.7,"NO2",20,2018-01-02 13:00:00
-10.7,"O3",19,2018-01-02 13:00:00
-10.9,"NO2",17,2018-01-02 14:00:00
-10.9,"O3",21,2018-01-02 14:00:00
-11.2,"NO2",16,2018-01-02 14:59:59
-11.2,"O3",22,2018-01-02 14:59:59
-12,"NO2",17,2018-01-02 16:00:00
-12,"O3",21,2018-01-02 16:00:00
-12.1,"NO2",15,2018-01-02 17:00:00
-12.1,"O3",22,2018-01-02 17:00:00
-12.3,"NO2",20,2018-01-02 17:59:59
-12.3,"O3",18,2018-01-02 17:59:59
-12.9,"NO2",16,2018-01-02 19:00:00
-12.9,"O3",22,2018-01-02 19:00:00
-13.1,"NO2",14,2018-01-02 20:00:00
-13.1,"O3",27,2018-01-02 20:00:00
-13.4,"NO2",16,2018-01-02 20:59:59
-13.4,"O3",24,2018-01-02 20:59:59
-13.1,"NO2",16,2018-01-02 22:00:00
-13.1,"O3",25,2018-01-02 22:00:00
-12,"NO2",16,2018-01-02 23:00:00
-12,"O3",25,2018-01-02 23:00:00
-11.3,"NO2",16,2018-01-02 23:59:59
-11.3,"O3",25,2018-01-02 23:59:59
-11.2,"NO2",12,2018-01-03 01:00:00
-11.2,"O3",30,2018-01-03 01:00:00
-11,"NO2",16,2018-01-03 02:00:00
-11,"O3",28,2018-01-03 02:00:00
-11.6,"NO2",22,2018-01-03 02:59:59
-11.6,"O3",21,2018-01-03 02:59:59
-10.7,"NO2",15,2018-01-03 04:00:00
-10.7,"O3",24,2018-01-03 04:00:00
-9.1,"NO2",14,2018-01-03 05:00:00
-9.1,"O3",25,2018-01-03 05:00:00
-8.6,"NO2",15,2018-01-03 05:59:59
-8.6,"O3",25,2018-01-03 05:59:59
-7.2,"NO2",15,2018-01-03 07:00:00
-7.2,"O3",25,2018-01-03 07:00:00
-6.9,"NO2",18,2018-01-03 08:00:00
-6.9,"O3",21,2018-01-03 08:00:00
-6.5,"NO2",15,2018-01-03 08:59:59
-6.5,"O3",24,2018-01-03 08:59:59
-6.8,"NO2",13,2018-01-03 10:00:00
-6.8,"O3",26,2018-01-03 10:00:00
-7,"NO2",14,2018-01-03 11:00:00
-7,"O3",26,2018-01-03 11:00:00
-7,"NO2",16,2018-01-03 11:59:59
-7,"O3",22,2018-01-03 11:59:59
-7.5,"NO2",19,2018-01-03 13:00:00
-7.5,"O3",19,2018-01-03 13:00:00
-7.9,"NO2",18,2018-01-03 14:00:00
-7.9,"O3",19,2018-01-03 14:00:00
-8.8,"NO2",17,2018-01-03 14:59:59
-8.8,"O3",18,2018-01-03 14:59:59
-9.2,"NO2",19,2018-01-03 16:00:00
-9.2,"O3",15,2018-01-03 16:00:00
-9.4,"NO2",21,2018-01-03 17:00:00
-9.4,"O3",13,2018-01-03 17:00:00
-9.5,"NO2",21,2018-01-03 17:59:59
-9.5,"O3",12,2018-01-03 17:59:59
-9.2,"NO2",21,2018-01-03 19:00:00
-9.2,"O3",12,2018-01-03 19:00:00
-9.2,"NO2",23,2018-01-03 20:00:00
-9.2,"O3",9,2018-01-03 20:00:00
-9.2,"NO2",26,2018-01-03 20:59:59
-9.2,"O3",6,2018-01-03 20:59:59
-9.2,"NO2",26,2018-01-03 22:00:00
-9.2,"O3",7,2018-01-03 22:00:00
-9.6,"NO2",26,2018-01-03 23:00:00
-9.6,"O3",8,2018-01-03 23:00:00
-9.8,"NO2",33,2018-01-03 23:59:59
-9.8,"O3",4,2018-01-03 23:59:59
-10.1,"NO2",18,2018-01-04 01:00:00
-10.1,"O3",17,2018-01-04 01:00:00
-11.3,"NO2",20,2018-01-04 02:00:00
-11.3,"O3",15,2018-01-04 02:00:00
-12.4,"NO2",18,2018-01-04 02:59:59
-12.4,"O3",17,2018-01-04 02:59:59
-12.9,"NO2",12,2018-01-04 04:00:00
-12.9,"O3",23,2018-01-04 04:00:00
-11.5,"NO2",11,2018-01-04 05:00:00
-11.5,"O3",26,2018-01-04 05:00:00
-10.9,"NO2",8,2018-01-04 05:59:59
-10.9,"O3",29,2018-01-04 05:59:59
-11.3,"NO2",8,2018-01-04 07:00:00
-11.3,"O3",29,2018-01-04 07:00:00
-11.6,"NO2",8,2018-01-04 08:00:00
-11.6,"O3",29,2018-01-04 08:00:00
-11.7,"NO2",7,2018-01-04 08:59:59
-11.7,"O3",29,2018-01-04 08:59:59
-11.9,"NO2",8,2018-01-04 10:00:00
-11.9,"O3",27,2018-01-04 10:00:00
-12.6,"NO2",8,2018-01-04 11:00:00
-12.6,"O3",26,2018-01-04 11:00:00
-13.9,"NO2",9,2018-01-04 11:59:59
-13.9,"O3",26,2018-01-04 11:59:59
-14.9,"NO2",10,2018-01-04 13:00:00
-14.9,"O3",25,2018-01-04 13:00:00
-15.2,"NO2",10,2018-01-04 14:00:00
-15.2,"O3",26,2018-01-04 14:00:00
-17.4,"NO2",10,2018-01-04 14:59:59
-17.4,"O3",27,2018-01-04 14:59:59
-18.1,"NO2",9,2018-01-04 16:00:00
-18.1,"O3",28,2018-01-04 16:00:00
-18.9,"NO2",9,2018-01-04 17:00:00
-18.9,"O3",28,2018-01-04 17:00:00
-19.5,"NO2",10,2018-01-04 17:59:59
-19.5,"O3",27,2018-01-04 17:59:59
-20.1,"NO2",10,2018-01-04 19:00:00
-20.1,"O3",27,2018-01-04 19:00:00
-20.5,"NO2",13,2018-01-04 20:00:00
-20.5,"O3",24,2018-01-04 20:00:00
-21.2,"NO2",12,2018-01-04 20:59:59
-21.2,"O3",24,2018-01-04 20:59:59
-21.6,"NO2",10,2018-01-04 22:00:00
-21.6,"O3",25,2018-01-04 22:00:00
-21.9,"NO2",14,2018-01-04 23:00:00
-21.9,"O3",22,2018-01-04 23:00:00
-21.6,"NO2",14,2018-01-04 23:59:59
-21.6,"O3",22,2018-01-04 23:59:59
-23,"NO2",15,2018-01-05 01:00:00
-23,"O3",21,2018-01-05 01:00:00
-22,"NO2",16,2018-01-05 02:00:00
-22,"O3",20,2018-01-05 02:00:00
-21.9,"NO2",16,2018-01-05 02:59:59
-21.9,"O3",19,2018-01-05 02:59:59
-21.2,"NO2",13,2018-01-05 04:00:00
-21.2,"O3",22,2018-01-05 04:00:00
-20.4,"NO2",9,2018-01-05 05:00:00
-20.4,"O3",26,2018-01-05 05:00:00
-19,"NO2",6,2018-01-05 05:59:59
-19,"O3",28,2018-01-05 05:59:59
-18.3,"NO2",7,2018-01-05 07:00:00
-18.3,"O3",28,2018-01-05 07:00:00
-17.5,"NO2",6,2018-01-05 08:00:00
-17.5,"O3",29,2018-01-05 08:00:00
-16.5,"NO2",6,2018-01-05 08:59:59
-16.5,"O3",29,2018-01-05 08:59:59
-15.2,"NO2",7,2018-01-05 10:00:00
-15.2,"O3",28,2018-01-05 10:00:00
-15.9,"NO2",9,2018-01-05 11:00:00
-15.9,"O3",26,2018-01-05 11:00:00
-16.9,"NO2",11,2018-01-05 11:59:59
-16.9,"O3",24,2018-01-05 11:59:59
-17.7,"NO2",12,2018-01-05 13:00:00
-17.7,"O3",23,2018-01-05 13:00:00
-17.4,"NO2",12,2018-01-05 14:00:00
-17.4,"O3",24,2018-01-05 14:00:00
-17.2,"NO2",17,2018-01-05 14:59:59
-17.2,"O3",21,2018-01-05 14:59:59
-18.4,"NO2",21,2018-01-05 16:00:00
-18.4,"O3",17,2018-01-05 16:00:00
-19.3,"NO2",17,2018-01-05 17:00:00
-19.3,"O3",20,2018-01-05 17:00:00
-19.1,"NO2",12,2018-01-05 17:59:59
-19.1,"O3",24,2018-01-05 17:59:59
-20.2,"NO2",11,2018-01-05 19:00:00
-20.2,"O3",25,2018-01-05 19:00:00
-21,"NO2",14,2018-01-05 20:00:00
-21,"O3",22,2018-01-05 20:00:00
-21.8,"NO2",12,2018-01-05 20:59:59
-21.8,"O3",23,2018-01-05 20:59:59
-22.3,"NO2",10,2018-01-05 22:00:00
-22.3,"O3",24,2018-01-05 22:00:00
-22.2,"NO2",11,2018-01-05 23:00:00
-22.2,"O3",24,2018-01-05 23:00:00
-22.4,"NO2",13,2018-01-05 23:59:59
-22.4,"O3",22,2018-01-05 23:59:59
-22.9,"NO2",14,2018-01-06 01:00:00
-22.9,"O3",21,2018-01-06 01:00:00
-21.5,"NO2",14,2018-01-06 02:00:00
-21.5,"O3",22,2018-01-06 02:00:00
-21.5,"NO2",19,2018-01-06 02:59:59
-21.5,"O3",17,2018-01-06 02:59:59
-20.4,"NO2",14,2018-01-06 04:00:00
-20.4,"O3",22,2018-01-06 04:00:00
-21.4,"NO2",8,2018-01-06 05:00:00
-21.4,"O3",27,2018-01-06 05:00:00
-20,"NO2",6,2018-01-06 05:59:59
-20,"O3",29,2018-01-06 05:59:59
-17.5,"NO2",5,2018-01-06 07:00:00
-17.5,"O3",30,2018-01-06 07:00:00
-17.9,"NO2",5,2018-01-06 08:00:00
-17.9,"O3",30,2018-01-06 08:00:00
-17.2,"NO2",5,2018-01-06 08:59:59
-17.2,"O3",31,2018-01-06 08:59:59
-16.8,"NO2",7,2018-01-06 10:00:00
-16.8,"O3",29,2018-01-06 10:00:00
-16.4,"NO2",8,2018-01-06 11:00:00
-16.4,"O3",29,2018-01-06 11:00:00
-16.4,"NO2",16,2018-01-06 11:59:59
-16.4,"O3",23,2018-01-06 11:59:59
-17.1,"NO2",24,2018-01-06 13:00:00
-17.1,"O3",16,2018-01-06 13:00:00
-18,"NO2",25,2018-01-06 14:00:00
-18,"O3",16,2018-01-06 14:00:00
-17.9,"NO2",14,2018-01-06 14:59:59
-17.9,"O3",25,2018-01-06 14:59:59
-18.3,"NO2",19,2018-01-06 16:00:00
-18.3,"O3",21,2018-01-06 16:00:00
-19.4,"NO2",24,2018-01-06 17:00:00
-19.4,"O3",17,2018-01-06 17:00:00
-19.8,"NO2",32,2018-01-06 17:59:59
-19.8,"O3",11,2018-01-06 17:59:59
-20.5,"NO2",37,2018-01-06 19:00:00
-20.5,"O3",7,2018-01-06 19:00:00
-20.6,"NO2",38,2018-01-06 20:00:00
-20.6,"O3",7,2018-01-06 20:00:00
-18.6,"NO2",42,2018-01-06 20:59:59
-18.6,"O3",3,2018-01-06 20:59:59
-19.1,"NO2",-999,2018-01-06 22:00:00
-19.1,"O3",-999,2018-01-06 22:00:00
-18.1,"NO2",41,2018-01-06 23:00:00
-18.1,"O3",2,2018-01-06 23:00:00
-18,"NO2",41,2018-01-06 23:59:59
-18,"O3",4,2018-01-06 23:59:59
-17.5,"NO2",20,2018-01-07 01:00:00
-17.5,"O3",19,2018-01-07 01:00:00
-16.5,"NO2",22,2018-01-07 02:00:00
-16.5,"O3",18,2018-01-07 02:00:00
-15.5,"NO2",16,2018-01-07 02:59:59
-15.5,"O3",23,2018-01-07 02:59:59
-14.5,"NO2",11,2018-01-07 04:00:00
-14.5,"O3",26,2018-01-07 04:00:00
-12.2,"NO2",11,2018-01-07 05:00:00
-12.2,"O3",27,2018-01-07 05:00:00
-11.3,"NO2",9,2018-01-07 05:59:59
-11.3,"O3",30,2018-01-07 05:59:59
-10.8,"NO2",8,2018-01-07 07:00:00
-10.8,"O3",31,2018-01-07 07:00:00
-10.4,"NO2",7,2018-01-07 08:00:00
-10.4,"O3",32,2018-01-07 08:00:00
-10,"NO2",7,2018-01-07 08:59:59
-10,"O3",33,2018-01-07 08:59:59
-9.5,"NO2",10,2018-01-07 10:00:00
-9.5,"O3",30,2018-01-07 10:00:00
-9,"NO2",10,2018-01-07 11:00:00
-9,"O3",30,2018-01-07 11:00:00
-8.1,"NO2",12,2018-01-07 11:59:59
-8.1,"O3",29,2018-01-07 11:59:59
-7.6,"NO2",12,2018-01-07 13:00:00
-7.6,"O3",28,2018-01-07 13:00:00
-7.1,"NO2",15,2018-01-07 14:00:00
-7.1,"O3",25,2018-01-07 14:00:00
-6,"NO2",13,2018-01-07 14:59:59
-6,"O3",27,2018-01-07 14:59:59
-4.8,"NO2",15,2018-01-07 16:00:00
-4.8,"O3",25,2018-01-07 16:00:00
-4,"NO2",14,2018-01-07 17:00:00
-4,"O3",-999,2018-01-07 17:00:00
-3.4,"NO2",15,2018-01-07 17:59:59
-3.4,"O3",25,2018-01-07 17:59:59
-2.2,"NO2",17,2018-01-07 19:00:00
-2.2,"O3",23,2018-01-07 19:00:00
-2.3,"NO2",10,2018-01-07 20:00:00
-2.3,"O3",-999,2018-01-07 20:00:00
-2.5,"NO2",10,2018-01-07 20:59:59
-2.5,"O3",27,2018-01-07 20:59:59
-2.5,"NO2",9,2018-01-07 22:00:00
-2.5,"O3",27,2018-01-07 22:00:00
-2.5,"NO2",9,2018-01-07 23:00:00
-2.5,"O3",27,2018-01-07 23:00:00
-2.3,"NO2",9,2018-01-07 23:59:59
-2.3,"O3",27,2018-01-07 23:59:59
-2.3,"NO2",9,2018-01-08 01:00:00
-2.3,"O3",26,2018-01-08 01:00:00
-2.4,"NO2",11,2018-01-08 02:00:00
-2.4,"O3",24,2018-01-08 02:00:00
-1.9,"NO2",11,2018-01-08 02:59:59
-1.9,"O3",24,2018-01-08 02:59:59
-1.1,"NO2",13,2018-01-08 04:00:00
-1.1,"O3",22,2018-01-08 04:00:00
0,"NO2",19,2018-01-08 05:00:00
0,"O3",18,2018-01-08 05:00:00
1.1,"NO2",17,2018-01-08 05:59:59
1.1,"O3",19,2018-01-08 05:59:59
1.2,"NO2",14,2018-01-08 07:00:00
1.2,"O3",21,2018-01-08 07:00:00
1.9,"NO2",21,2018-01-08 08:00:00
1.9,"O3",14,2018-01-08 08:00:00
1.8,"NO2",17,2018-01-08 08:59:59
1.8,"O3",15,2018-01-08 08:59:59
1.8,"NO2",20,2018-01-08 10:00:00
1.8,"O3",13,2018-01-08 10:00:00
1.8,"NO2",16,2018-01-08 11:00:00
1.8,"O3",17,2018-01-08 11:00:00
1.8,"NO2",20,2018-01-08 11:59:59
1.8,"O3",14,2018-01-08 11:59:59
2,"NO2",22,2018-01-08 13:00:00
2,"O3",13,2018-01-08 13:00:00
2.1,"NO2",13,2018-01-08 14:00:00
2.1,"O3",22,2018-01-08 14:00:00
2,"NO2",13,2018-01-08 14:59:59
2,"O3",23,2018-01-08 14:59:59
1.9,"NO2",11,2018-01-08 16:00:00
1.9,"O3",25,2018-01-08 16:00:00
1.4,"NO2",10,2018-01-08 17:00:00
1.4,"O3",26,2018-01-08 17:00:00
1,"NO2",10,2018-01-08 17:59:59
1,"O3",25,2018-01-08 17:59:59
